database_name	LIPIDMAPS
database_version	18Mar14
114.06808	C6H10O2	LMFA01030008
114.06808	C6H10O2	LMFA01030009
114.06808	C6H10O2	LMFA01030010
114.06808	C6H10O2	LMFA01030011
128.08373	C7H12O2	LMFA01030012
128.08373	C7H12O2	LMFA01030013
128.08373	C7H12O2	LMFA01030014
128.08373	C7H12O2	LMFA01030015
128.08373	C7H12O2	LMFA01030016
142.09938	C8H14O2	LMFA01030017
142.09938	C8H14O2	LMFA01030018
142.09938	C8H14O2	LMFA01030019
142.09938	C8H14O2	LMFA01030020
142.09938	C8H14O2	LMFA01030021
142.09938	C8H14O2	LMFA01030022
142.09938	C8H14O2	LMFA01030023
142.09938	C8H14O2	LMFA01030024
142.09938	C8H14O2	LMFA01030025
156.11503	C9H16O2	LMFA01030026
156.11503	C9H16O2	LMFA01030027
156.11503	C9H16O2	LMFA01030028
170.13068	C10H18O2	LMFA01030029
170.13068	C10H18O2	LMFA01030030
170.13068	C10H18O2	LMFA01030031
170.13068	C10H18O2	LMFA01030032
170.13068	C10H18O2	LMFA01030033
184.14633	C11H20O2	LMFA01030034
184.14633	C11H20O2	LMFA01030035
184.14633	C11H20O2	LMFA01030036
198.16198	C12H22O2	LMFA01030037
198.16198	C12H22O2	LMFA01030038
198.16198	C12H22O2	LMFA01030039
198.16198	C12H22O2	LMFA01030040
198.16198	C12H22O2	LMFA01030041
198.16198	C12H22O2	LMFA01030042
198.16198	C12H22O2	LMFA01030043
212.17763	C13H24O2	LMFA01030044
212.17763	C13H24O2	LMFA01030045
212.17763	C13H24O2	LMFA01030046
226.19328	C14H26O2	LMFA01030047
226.19328	C14H26O2	LMFA01030048
226.19328	C14H26O2	LMFA01030050
226.19328	C14H26O2	LMFA01030051
240.20893	C15H28O2	LMFA01030052
240.20893	C15H28O2	LMFA01030053
254.224581	C16H30O2	LMFA01030054
254.224581	C16H30O2	LMFA01030055
254.224581	C16H30O2	LMFA01030056
254.224581	C16H30O2	LMFA01030057
254.224581	C16H30O2	LMFA01030058
268.240231	C17H32O2	LMFA01030059
268.240231	C17H32O2	LMFA01030060
282.255881	C18H34O2	LMFA01030061
282.255881	C18H34O2	LMFA01030062
282.255881	C18H34O2	LMFA01030063
282.255881	C18H34O2	LMFA01030064
282.255881	C18H34O2	LMFA01030065
282.255881	C18H34O2	LMFA01030066
282.255881	C18H34O2	LMFA01030067
282.255881	C18H34O2	LMFA01030068
282.255881	C18H34O2	LMFA01030069
282.255881	C18H34O2	LMFA01030070
282.255881	C18H34O2	LMFA01030071
282.255881	C18H34O2	LMFA01030073
282.255881	C18H34O2	LMFA01030074
282.255881	C18H34O2	LMFA01030075
282.255881	C18H34O2	LMFA01030076
282.255881	C18H34O2	LMFA01030077
282.255881	C18H34O2	LMFA01030078
282.255881	C18H34O2	LMFA01030079
282.255881	C18H34O2	LMFA01030080
282.255881	C18H34O2	LMFA01030081
310.287181	C20H38O2	LMFA01030082
296.271531	C19H36O2	LMFA01030083
310.287181	C20H38O2	LMFA01030084
310.287181	C20H38O2	LMFA01030085
310.287181	C20H38O2	LMFA01030086
310.287181	C20H38O2	LMFA01030087
338.318481	C22H42O2	LMFA01030088
338.318481	C22H42O2	LMFA01030089
338.318481	C22H42O2	LMFA01030090
352.334131	C23H44O2	LMFA01030091
366.349781	C24H46O2	LMFA01030092
366.349781	C24H46O2	LMFA01030093
394.381081	C26H50O2	LMFA01030094
